,naselje,rodilnik,mestnik,lat,lng,region_name,region_id
3370,Plešivica,Plešivice,Plešivici,45.7034,13.8706,Obalno-kraška,SI044
3371,Plešivica,Plešivice,Plešivici,45.8339,14.9292,Jugovzhodna Slovenija,SI037
3372,Plešivica Pri Žalni,Plešivice Priv Žalniv,Plešivici Prih Žalnih,45.9551,14.6562,Osrednjeslovenska,SI041
3374,Pleterje,Pleterja,Pleterju,46.406,15.7983,Podravska,SI032
3375,Pleterje,Pleterja,Pleterju,45.95,15.4833,Posavska,SI036
3376,Pletovarje,Pletovarja,Pletovarju,46.2176,15.396,Savinjska,SI034
3378,Pliskovica,Pliskovice,Pliskovici,45.7034,13.8706,Obalno-kraška,SI044
3381,Plodršnica,Plodršnice,Plodršnici,46.6817,15.6481,Podravska,SI032
3382,Plosovo,Plosova,Plosovu,45.8363,14.6377,Osrednjeslovenska,SI041
3383,Pluska,Pluske,Pluski,45.9104,15.0086,Jugovzhodna Slovenija,SI037
3384,Plužna,Plužne,Plužni,46.3378,13.5522,Goriška,SI043
3385,Plužnje,Plužnja,Plužnju,46.1278,13.9875,Goriška,SI043
3386,Pobegi,Pobegiv,Pobegih,45.55,13.7333,Obalno-kraška,SI044
3387,Pobrež,Pobreža,Pobrežu,46.386,15.4458,Podravska,SI032
3388,Pobrežje,Pobrežja,Pobrežju,45.5711,15.1889,Jugovzhodna Slovenija,SI037
3389,Pobrežje,Pobrežja,Pobrežju,45.8484,14.6944,Osrednjeslovenska,SI041
3390,Počakovo,Počakova,Počakovu,46.0658,15.1728,Posavska,SI036
3391,Poče,Poča,Poču,46.1278,13.9875,Goriška,SI043
3392,Počehova,Počehove,Počehovi,46.5575,15.6456,Podravska,SI032
3393,Počenik,Počenika,Počeniku,46.6099,15.6714,Podravska,SI032
3394,Podbela,Podbele,Podbeli,46.2464,13.578,Goriška,SI043
3395,Podbeže,Podbeža,Podbežu,45.5679,14.2527,Primorsko-notranjska,SI038
3396,Podblica,Podblice,Podblici,46.2333,14.3667,Gorenjska,SI042
3397,Podboč,Podboča,Podboču,46.3135,15.5791,Podravska,SI032
3398,Podbočje,Podbočja,Podbočju,45.95,15.4833,Posavska,SI036
3399,Podboršt,Podboršta,Podborštu,45.9374,14.8029,Osrednjeslovenska,SI041
3400,Podboršt,Podboršta,Podborštu,46.0092,15.3041,Posavska,SI036
3401,Podboršt Pri Komendi,Podboršta Priv Komendiv,Podborštu Prih Komendih,46.2073,14.539,Osrednjeslovenska,SI041
3402,Podbrdo,Podbrda,Podbrdu,46.1857,13.7352,Goriška,SI043
3403,Podbreg,Podbrega,Podbregu,46.2257,14.612,Osrednjeslovenska,SI041
3404,Podbreg,Podbrega,Podbregu,45.8476,13.9624,Goriška,SI043
3405,Podbrezje,Podbrezja,Podbrezju,46.2749,14.3176,Gorenjska,SI042
3406,Podbreže,Podbreža,Podbrežu,45.7034,13.8706,Obalno-kraška,SI044
3407,Podbukovje,Podbukovja,Podbukovju,45.9374,14.8029,Osrednjeslovenska,SI041
3408,Podbukovje Pri Vačah,Podbukovja Priv Vačaha,Podbukovju Prih Vačahu,46.0667,14.8167,Zasavska,SI035
3410,Podčetrtek,Podčetrteka,Podčetrteku,46.1573,15.5974,Savinjska,SI034
3411,Poden,Podena,Podenu,45.5088,14.91,Jugovzhodna Slovenija,SI037
3412,Podgaj,Podgaja,Podgaju,46.2176,15.396,Savinjska,SI034
3416,Podgora,Podgore,Podgori,45.7864,15.0745,Jugovzhodna Slovenija,SI037
3420,Podgora Pri Zlatem Polju,Podgore Priv Zlatema Poljua,Podgori Prih Zlatemu Poljuu,46.1686,14.6892,Osrednjeslovenska,SI041
3421,Podgorci,Podgorciv,Podgorcih,46.4086,16.1475,Podravska,SI032
3423,Podgorica,Podgorice,Podgorici,46.0092,15.3041,Posavska,SI036
3424,Podgorica Pri Pečah,Podgorice Priv Pečaha,Podgorici Prih Pečahu,46.1356,14.7439,Osrednjeslovenska,SI041
3425,Podgorica Pri Podtaboru,Podgorice Priv Podtaborua,Podgorici Prih Podtaboruu,45.9551,14.6562,Osrednjeslovenska,SI041
3426,Podgorica Pri Šmarju,Podgorice Priv Šmarjua,Podgorici Prih Šmarjuu,45.9551,14.6562,Osrednjeslovenska,SI041
3428,Podgorje,Podgorja,Podgorju,46.2257,14.612,Osrednjeslovenska,SI041
3429,Podgorje,Podgorja,Podgorju,45.55,13.7333,Obalno-kraška,SI044
3430,Podgorje,Podgorja,Podgorju,46.5094,15.0792,Koroška,SI033
3431,Podgorje,Podgorja,Podgorju,46.3625,15.1144,Savinjska,SI034
3432,Podgorje Ob Sevnični,Podgorja Oba Sevničniv,Podgorju Obu Sevničnih,46.0092,15.3041,Posavska,SI036
3433,Podgorje Pod Čerinom,Podgorja Poda Čerinoma,Podgorju Podu Čerinomu,46.2933,15.3052,Savinjska,SI034
3434,Podgorje Pri Letušu,Podgorja Priv Letušua,Podgorju Prih Letušuu,46.2884,15.0386,Savinjska,SI034
3435,Podgorje Pri Pišecah,Podgorja Priv Pišecaha,Podgorju Prih Pišecahu,45.9048,15.5922,Posavska,SI036
3436,Podgozd,Podgozda,Podgozdu,45.9692,14.5394,Osrednjeslovenska,SI041
3437,Podgozd,Podgozda,Podgozdu,45.9558,13.6433,Goriška,SI043
3438,Podgozd,Podgozda,Podgozdu,45.8339,14.9292,Jugovzhodna Slovenija,SI037
3439,Podgračeno,Podgračena,Podgračenu,45.9048,15.5922,Posavska,SI036
3441,Podgrad,Podgrada,Podgradu,45.5679,14.2527,Primorsko-notranjska,SI038
3442,Podgrad,Podgrada,Podgradu,46.0514,14.5061,Osrednjeslovenska,SI041
3443,Podgrad,Podgrada,Podgradu,45.8,15.1667,Jugovzhodna Slovenija,SI037
3444,Podgrad,Podgrada,Podgradu,46.2176,15.396,Savinjska,SI034
