naselje;občina
Dolga Vas;Kočevje
Dolga Vas;Lendava
Dolge Njive;Gorenja Vas-Poljane
Dolge Njive;Lenart
Dolgi Laz;Tolmin
Dolgi Vrh;Slovenska Bistrica
Dolgo Brdo;Litija
Dolgo Brdo;Ljubljana
Dolgo Brdo Pri Mlinšah;Zagorje Ob Savi
Dolgovaške Gorice;Lendava
Dolič;Destrnik
Dolič;Kuzma
Dolina;Puconci
Dolina;Tržič
Dolina Pri Lendavi;Lendava
Dolje;Tolmin
Dolnja Bistrica;Črenšovci
Dolnja Bitnja;Ilirska Bistrica
Dolnja Briga;Kočevje
Dolnja Košana;Pivka
Dolnja Lokvica;Metlika
Dolnja Paka;Črnomelj
Dolnja Počehova;Pesnica
Dolnja Prekopa;Kostanjevica Na Krki
Dolnja Stara Vas;Škocjan
Dolnja Težka Voda;Novo Mesto
Dolnje Brezovo;Sevnica
Dolnje Cerovo;Brda
Dolnje Dobravice;Metlika
Dolnje Impolje;Sevnica
Dolnje Ležeče;Divača
Dolnje Ložine;Kočevje
Dolnje Mraševo;Straža
Dolnje Orle;Sevnica
Dolnje Prapreče;Trebnje
Dolnje Retje;Velike Lašče
Dolnje Vreme;Divača
